timestamp,stage,taskId,durationMs,queueSize,workerId
1772826823931,PROCESS,70000ms,0,0,DefaultDispatcher-worker-9
1772826824079,DECODE,77000ms,611,0,DefaultDispatcher-worker-35
1772826824079,PROCESS,77000ms,0,0,DefaultDispatcher-worker-35
1772826824160,DECODE,78000ms,616,0,DefaultDispatcher-worker-4
1772826824180,PROCESS,78000ms,0,0,DefaultDispatcher-worker-4
1772826824243,DECODE,75000ms,596,0,DefaultDispatcher-worker-11
1772826824243,PROCESS,75000ms,0,0,DefaultDispatcher-worker-11
1772826824360,DECODE,76000ms,655,0,DefaultDispatcher-worker-10
1772826824361,PROCESS,76000ms,0,0,DefaultDispatcher-worker-10
1772826824466,DECODE,31000ms,651,0,DefaultDispatcher-worker-34
1772826824466,PROCESS,31000ms,0,0,DefaultDispatcher-worker-34
1772826824566,DECODE,74000ms,657,0,DefaultDispatcher-worker-14
1772826824567,PROCESS,74000ms,0,0,DefaultDispatcher-worker-14
1772826824669,DECODE,80000ms,682,0,DefaultDispatcher-worker-7
1772826824669,PROCESS,80000ms,0,0,DefaultDispatcher-worker-7
1772826824760,DECODE,84000ms,607,0,DefaultDispatcher-worker-9
1772826824760,PROCESS,84000ms,0,0,DefaultDispatcher-worker-9
1772826824878,DECODE,79000ms,634,0,DefaultDispatcher-worker-40
1772826824879,PROCESS,79000ms,0,0,DefaultDispatcher-worker-40
1772826824982,DECODE,82000ms,646,0,DefaultDispatcher-worker-4
1772826824982,PROCESS,82000ms,0,0,DefaultDispatcher-worker-4
1772826825046,DECODE,86000ms,569,0,DefaultDispatcher-worker-11
1772826825047,PROCESS,86000ms,0,0,DefaultDispatcher-worker-11
1772826825148,DECODE,85000ms,604,0,DefaultDispatcher-worker-10
1772826825148,PROCESS,85000ms,0,0,DefaultDispatcher-worker-10
1772826825233,DECODE,89000ms,586,0,DefaultDispatcher-worker-34
1772826825234,PROCESS,89000ms,0,0,DefaultDispatcher-worker-34
1772826825303,DECODE,88000ms,581,0,DefaultDispatcher-worker-14
1772826825303,PROCESS,88000ms,0,0,DefaultDispatcher-worker-14
1772826825424,DECODE,73000ms,613,0,DefaultDispatcher-worker-7
1772826825424,PROCESS,73000ms,0,0,DefaultDispatcher-worker-7
1772826825493,DECODE,71000ms,563,0,DefaultDispatcher-worker-9
1772826825494,PROCESS,71000ms,0,0,DefaultDispatcher-worker-9
1772826825592,DECODE,87000ms,552,0,DefaultDispatcher-worker-40
1772826825592,PROCESS,87000ms,0,0,DefaultDispatcher-worker-40
1772826825706,DECODE,81000ms,605,0,DefaultDispatcher-worker-4
1772826825706,PROCESS,81000ms,0,0,DefaultDispatcher-worker-4
1772826825782,DECODE,83000ms,562,0,DefaultDispatcher-worker-11
1772826825785,PROCESS,83000ms,0,0,DefaultDispatcher-worker-11
1772826825865,DECODE,90000ms,575,0,DefaultDispatcher-worker-10
1772826825866,PROCESS,90000ms,0,0,DefaultDispatcher-worker-10
